segment_id,n_pairs,mean_disp_mm,disp_trend_mm_per_month,disp_std_mm,mean_coherence,max_disp_mm,min_disp_mm
1,35,3.339,-0.1399,46.523,0.806,121.262,-125.683
2,35,3.258,-0.1339,46.018,0.791,120.249,-123.623
3,35,3.214,-0.1381,45.249,0.786,119.858,-123.536
4,35,3.158,-0.13,44.855,0.73,121.868,-125.168
5,35,2.855,-0.1378,45.201,0.698,125.638,-128.773
6,35,2.72,-0.1578,45.859,0.677,129.563,-131.163
7,35,2.896,-0.1425,46.695,0.661,133.523,-133.049
8,35,2.956,-0.1294,47.751,0.642,138.145,-136.759
9,35,2.917,-0.0948,47.995,0.635,139.927,-138.321
10,35,3.01,-0.0944,47.498,0.578,138.211,-136.838
11,35,3.065,-0.137,47.462,0.528,136.874,-135.9
12,35,3.014,-0.1288,47.429,0.569,137.556,-133.839
13,35,3.127,-0.0715,47.623,0.55,140.802,-132.969
14,35,2.942,-0.0744,48.098,0.575,141.528,-133.725
15,35,2.63,-0.1054,48.069,0.555,138.036,-132.642
16,35,2.494,-0.1239,47.576,0.483,135.523,-132.347
17,35,2.512,-0.1755,47.148,0.483,135.107,-130.113
18,35,2.812,-0.1686,46.683,0.586,134.381,-125.249
19,35,3.183,-0.1072,47.214,0.583,137.775,-124.999
20,35,3.57,-0.0393,48.536,0.438,143.017,-126.779
21,35,3.862,0.0063,49.281,0.409,145.518,-126.265
22,35,4.391,-0.0019,49.384,0.418,146.121,-125.862
23,35,4.663,0.0451,48.836,0.461,144.715,-126.615
24,35,4.288,0.1037,47.466,0.456,136.401,-121.08
25,35,3.996,0.0343,48.005,0.421,133.562,-121.887
26,35,3.594,-0.0577,49.125,0.459,136.298,-129.049
27,35,3.396,-0.0803,48.576,0.482,136.88,-127.634
28,35,3.199,-0.083,48.451,0.479,138.618,-128.292
29,35,3.155,-0.0576,49.285,0.507,141.59,-132.394
30,35,3.206,-0.0157,50.013,0.554,144.035,-135.047
31,35,3.31,-0.015,49.931,0.534,146.612,-136.113
32,35,3.532,-0.0401,49.236,0.48,147.338,-135.879
33,35,3.676,-0.0976,49.407,0.503,147.729,-136.423
34,35,3.127,-0.0671,50.07,0.532,147.405,-138.437
35,35,2.79,-0.0315,50.08,0.542,144.869,-138.445
36,35,3.051,-0.0909,49.755,0.525,140.546,-137.69
37,35,3.684,-0.1169,49.191,0.519,136.125,-135.446
38,35,3.715,-0.1231,48.578,0.567,131.618,-133.848
39,35,3.45,-0.1389,48.113,0.573,128.785,-133.656
40,35,3.443,-0.0959,47.875,0.542,126.299,-134.01
41,35,3.679,-0.039,48.256,0.54,124.958,-134.903
42,35,3.779,-0.0758,49.137,0.528,124.584,-134.22
43,35,3.874,-0.0614,50.333,0.483,123.867,-132.236
44,35,3.399,0.036,51.189,0.497,121.986,-134.03
45,35,2.689,0.0911,51.708,0.561,119.171,-137.382
46,35,2.163,0.2052,52.294,0.578,117.295,-139.851
47,35,2.034,0.1746,52.526,0.583,118.211,-142.655
48,35,2.388,0.0467,52.824,0.606,121.121,-144.811
49,35,2.349,0.1184,53.396,0.619,123.387,-145.368
50,35,2.53,0.1463,53.479,0.602,123.682,-145.489
51,35,2.646,0.1002,53.455,0.591,124.162,-146.682
52,35,1.997,0.1789,54.297,0.627,124.822,-150.218
53,35,1.754,0.1933,55.107,0.651,126.309,-152.939
54,35,1.939,0.1498,55.425,0.626,128.109,-153.262
55,35,2.035,0.0679,55.926,0.63,129.367,-153.919
56,35,1.937,-0.0133,56.159,0.608,128.516,-152.646
57,35,1.896,0.0056,55.356,0.557,125.061,-147.081
58,35,1.969,0.0651,55.182,0.541,123.66,-141.273
59,35,1.647,0.0971,55.429,0.545,119.5,-137.484
60,35,1.626,0.0919,55.384,0.564,116.314,-136.25
61,35,1.301,0.0097,56.242,0.532,120.358,-140.159
62,35,0.793,-0.0772,58.041,0.5,125.435,-147.586
63,35,1.314,-0.1851,60.03,0.448,128.379,-154.115
