segment_id,road_name,corridor,mean_elevation_m,elev_range_m,mean_slope_deg,max_slope_deg,terrain_roughness,mean_curvature,stream_proximity_pct,mean_disp_mm,max_disp_mm,mean_coherence,rock_class,AADT_2022,truck_pct,truck_AADT,std_disp_mm,low_coh_pct,rock_risk_score,geology_enc,landcover_enc,known_unstable,rf_prob,risk_score,risk_category
1,I-40,I-40,320.9,33.6,1.96,4.5,6.93,-0.0049,10.7,3.339,121.262,0.806,carbonate,100854,28.4,28642,,,2,0,2,0,0.0,0.1786,Low
2,I-40,I-40,322.2,38.4,1.93,4.5,6.8,-0.0081,11.0,3.258,120.249,0.791,carbonate,95927,28.4,27243,,,2,0,2,0,0.0,0.1732,Low
3,I-40,I-40,340.1,95.9,3.28,13.43,11.4,-0.0026,11.0,3.214,119.858,0.786,carbonate,102026,27.2,27751,,,2,0,2,0,0.0033333333333333335,0.2021,Low
4,I-40,I-40,358.7,87.4,5.05,13.43,17.15,0.0119,10.4,3.158,121.868,0.73,carbonate,108818,27.3,29707,,,2,0,2,0,0.0,0.2274,Low
5,I-40,I-40,358.1,92.7,4.97,13.43,17.19,0.0036,10.5,2.855,125.638,0.698,carbonate,95182,28.3,26936,,,2,0,2,0,0.0,0.2122,Low
6,I-40,I-40,364.3,112.8,5.67,12.31,20.23,0.0017,10.8,2.72,129.563,0.677,carbonate,95183,25.8,24557,,,2,0,2,0,0.0033333333333333335,0.2204,Low
7,I-40,I-40,366.0,124.3,6.62,14.71,23.87,-0.0009,10.5,2.896,133.523,0.661,carbonate,109254,25.9,28296,,,2,0,2,0,0.06818946352647541,0.2739,Moderate
8,I-40,I-40,331.5,138.9,5.15,15.95,18.87,-0.0177,10.5,2.956,138.145,0.642,carbonate,102955,26.9,27694,,,2,0,2,0,0.036217948717948714,0.2469,Low
9,I-40,I-40,321.0,125.7,4.79,14.03,18.03,-0.0119,10.7,2.917,139.927,0.635,carbonate,93356,27.7,25859,,,2,0,2,0,0.013509615384615384,0.2235,Low
10,I-40,I-40,358.4,142.3,7.59,16.29,26.49,0.0144,11.0,3.01,138.211,0.578,carbonate,101210,28.5,28844,,,2,0,2,0,0.06676787160488348,0.2852,Moderate
11,I-40,I-40,391.7,137.2,8.29,17.6,29.32,0.0135,11.0,3.065,136.874,0.528,carbonate,93403,30.2,28207,,,2,0,2,0,0.09498879705283172,0.2976,Moderate
