segment_id,road_name,mean_elevation_m,elev_range_m,mean_slope_deg,max_slope_deg,std_slope_deg,mean_curvature,terrain_roughness,stream_proximity_pct,n_pairs,mean_disp_mm,disp_trend_mm_per_month,disp_std_mm,mean_coherence,max_disp_mm,min_disp_mm,rock_class,rocktype1,unit_name,AADT_2022,truck_pct,truck_AADT,data_source,rock_risk_score,geology_enc,landcover_enc,known_unstable,rf_prob,risk_score,risk_category
1,I-40,320.9,33.6,1.96,4.5,0.8,-0.0049,6.93,10.7,35,3.339,-0.1399,46.523,0.806,121.262,-125.683,carbonate,limestone,St. Louis Limestone and Warsaw Limestone,100854,28.4,28642,FHWA_HPMS_2022,2,0,2,0,0.0,0.2157,Low
2,I-40,322.2,38.4,1.93,4.5,0.81,-0.0081,6.8,11.0,35,3.258,-0.1339,46.018,0.791,120.249,-123.623,carbonate,limestone,Monteagle Limestone,95927,28.4,27243,FHWA_HPMS_2022,2,0,2,0,0.0,0.2082,Low
3,I-40,340.1,95.9,3.28,13.43,3.01,-0.0026,11.4,11.0,35,3.214,-0.1381,45.249,0.786,119.858,-123.536,carbonate,limestone,Monteagle Limestone,102026,27.2,27751,FHWA_HPMS_2022,2,0,2,0,0.0,0.2354,Low
4,I-40,358.7,87.4,5.05,13.43,3.38,0.0119,17.15,10.4,35,3.158,-0.13,44.855,0.73,121.868,-125.168,carbonate,limestone,Monteagle Limestone,108818,27.3,29707,FHWA_HPMS_2022,2,0,2,0,0.0032754208754208754,0.259,Moderate
5,I-40,358.1,92.7,4.97,13.43,3.03,0.0036,17.19,10.5,35,2.855,-0.1378,45.201,0.698,125.638,-128.773,carbonate,limestone,Monteagle Limestone,95182,28.3,26936,FHWA_HPMS_2022,2,0,2,0,0.0,0.2387,Low
6,I-40,364.3,112.8,5.67,12.31,3.0,0.0017,20.23,10.8,35,2.72,-0.1578,45.859,0.677,129.563,-131.163,carbonate,limestone,Bangor Limestone and Hartselle Formation,95183,25.8,24557,FHWA_HPMS_2022,2,0,2,0,0.0033333333333333335,0.246,Low
7,I-40,366.0,124.3,6.62,14.71,3.49,-0.0009,23.87,10.5,35,2.896,-0.1425,46.695,0.661,133.523,-133.049,carbonate,limestone,Monteagle Limestone,109254,25.9,28296,FHWA_HPMS_2022,2,0,2,0,0.0,0.276,Moderate
8,I-40,331.5,138.9,5.15,15.95,3.72,-0.0177,18.87,10.5,35,2.956,-0.1294,47.751,0.642,138.145,-136.759,carbonate,limestone,Monteagle Limestone,102955,26.9,27694,FHWA_HPMS_2022,2,0,2,0,0.006666666666666667,0.2614,Moderate
9,I-40,321.0,125.7,4.79,14.03,3.71,-0.0119,18.03,10.7,35,2.917,-0.0948,47.995,0.635,139.927,-138.321,carbonate,limestone,Monteagle Limestone,93356,27.7,25859,FHWA_HPMS_2022,2,0,2,0,0.0033333333333333335,0.2423,Low
10,I-40,358.4,142.3,7.59,16.29,4.52,0.0144,26.49,11.0,35,3.01,-0.0944,47.498,0.578,138.211,-136.838,carbonate,limestone,Monteagle Limestone,101210,28.5,28844,FHWA_HPMS_2022,2,0,2,0,0.013275420875420876,0.286,Moderate
11,I-40,391.7,137.2,8.29,17.6,4.47,0.0135,29.32,11.0,35,3.065,-0.137,47.462,0.528,136.874,-135.9,carbonate,limestone,Monteagle Limestone,93403,30.2,28207,FHWA_HPMS_2022,2,0,2,0,0.023275420875420876,0.291,Moderate
12,I-40,403.9,134.6,7.44,17.6,5.33,0.0342,27.2,10.4,35,3.014,-0.1288,47.429,0.569,137.556,-133.839,carbonate,limestone,Monteagle Limestone,93385,29.3,27361,FHWA_HPMS_2022,2,0,2,0,0.006666666666666667,0.2752,Moderate
13,I-40,402.1,105.9,7.37,15.99,4.63,-0.0028,26.34,10.5,35,3.127,-0.0715,47.623,0.55,140.802,-132.969,carbonate,limestone,Bangor Limestone and Hartselle Formation,98877,27.8,27487,FHWA_HPMS_2022,2,0,2,0,0.0033333333333333335,0.2718,Moderate
14,I-40,419.9,173.7,6.2,15.77,3.71,-0.0036,21.83,10.8,35,2.942,-0.0744,48.098,0.575,141.528,-133.725,carbonate,limestone,Bangor Limestone and Hartselle Formation,82152,28.0,23002,FHWA_HPMS_2022,2,0,2,0,0.07333333333333333,0.2724,Moderate
15,I-40,459.5,130.1,6.32,14.71,3.62,-0.0062,22.14,10.5,35,2.63,-0.1054,48.069,0.555,138.036,-132.642,carbonate,limestone,Pennington Formation,83614,26.5,22157,FHWA_HPMS_2022,2,0,2,0,0.006666666666666667,0.2397,Low
16,I-40,500.5,141.4,7.73,14.71,3.33,0.0043,26.23,10.5,35,2.494,-0.1239,47.576,0.483,135.523,-132.347,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",92636,28.0,25938,FHWA_HPMS_2022,3,1,2,0,0.01,0.2941,Moderate
17,I-40,528.3,89.7,5.54,12.74,3.44,-0.0005,19.63,10.7,35,2.512,-0.1755,47.148,0.483,135.107,-130.113,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",89140,27.6,24602,FHWA_HPMS_2022,3,1,2,0,0.0,0.2598,Moderate
18,I-40,547.2,90.1,2.87,11.27,2.19,0.0014,10.97,11.1,35,2.812,-0.1686,46.683,0.586,134.381,-125.249,clastic_sedimentary,shale,Pennington Formation,99438,28.5,28339,FHWA_HPMS_2022,3,1,2,0,0.0,0.2535,Moderate
19,I-40,549.3,121.5,4.78,19.13,5.48,0.0336,18.46,11.0,35,3.183,-0.1072,47.214,0.583,137.775,-124.999,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",89953,26.8,24107,FHWA_HPMS_2022,3,1,2,0,0.0033333333333333335,0.2671,Moderate
20,I-40,488.0,219.5,10.51,20.84,6.42,-0.0276,37.59,10.4,35,3.57,-0.0393,48.536,0.438,143.017,-126.779,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",86040,28.8,24779,FHWA_HPMS_2022,3,1,2,1,0.911011498338184,0.6553,High
21,I-40,475.0,211.2,12.1,20.84,4.77,0.0053,41.94,10.5,35,3.862,0.0063,49.281,0.409,145.518,-126.265,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",108373,30.3,32837,FHWA_HPMS_2022,3,1,2,1,0.942495126705653,0.7132,High
22,I-40,456.3,244.2,10.4,15.5,3.71,0.017,37.48,10.7,35,4.391,-0.0019,49.384,0.418,146.121,-125.862,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",95247,27.8,26478,FHWA_HPMS_2022,3,1,2,1,0.8924832433049723,0.6729,High
23,I-40,410.5,194.3,10.67,18.05,3.69,-0.0174,38.14,10.7,35,4.663,0.0451,48.836,0.461,144.715,-126.615,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",97524,28.6,27891,FHWA_HPMS_2022,3,1,2,1,0.8994060664880336,0.6791,High
24,I-40,409.4,244.6,12.03,22.11,4.74,-0.015,42.91,10.5,35,4.288,0.1037,47.466,0.456,136.401,-121.08,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",85943,29.0,24923,FHWA_HPMS_2022,3,1,2,1,0.9691617933723198,0.707,High
25,I-40,428.6,254.7,13.98,22.11,4.04,0.0142,48.83,10.8,35,3.996,0.0343,48.005,0.421,133.562,-121.887,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",84167,27.4,23061,FHWA_HPMS_2022,3,1,2,1,0.9824951267056531,0.7194,High
26,I-40,487.8,252.0,12.34,23.14,6.01,0.0456,45.0,10.4,35,3.594,-0.0577,49.125,0.459,136.298,-129.049,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",88780,28.3,25124,FHWA_HPMS_2022,3,1,2,1,0.9666666666666667,0.703,High
27,I-40,535.0,173.0,9.26,23.14,6.77,0.0149,35.22,10.5,35,3.396,-0.0803,48.576,0.482,136.88,-127.634,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",79897,28.0,22371,FHWA_HPMS_2022,3,1,2,1,0.7566666666666667,0.5745,High
28,I-40,554.1,127.0,5.15,21.24,5.87,-0.0021,19.22,10.7,35,3.199,-0.083,48.451,0.479,138.618,-128.292,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",90644,28.1,25470,FHWA_HPMS_2022,3,1,2,0,0.03,0.2827,Moderate
29,I-40,575.2,48.8,1.81,5.31,1.26,0.0049,7.97,13.9,35,3.155,-0.0576,49.285,0.507,141.59,-132.394,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",83771,26.8,22450,FHWA_HPMS_2022,3,1,2,0,0.0,0.2161,Low
30,I-40,591.0,50.9,2.93,8.17,1.69,-0.009,10.76,10.8,35,3.206,-0.0157,50.013,0.554,144.035,-135.047,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",85946,28.0,24064,FHWA_HPMS_2022,3,1,2,0,0.0,0.2294,Low
31,I-40,600.6,52.2,3.49,8.17,2.07,0.005,12.65,10.8,35,3.31,-0.015,49.931,0.534,146.612,-136.113,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",83763,28.7,24039,FHWA_HPMS_2022,3,1,1,0,0.0,0.2344,Low
32,I-40,588.2,66.9,4.49,7.96,1.9,0.0069,15.28,10.8,35,3.532,-0.0401,49.236,0.48,147.338,-135.879,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",101040,30.2,30514,FHWA_HPMS_2022,3,1,2,0,0.0,0.2741,Moderate
33,I-40,575.0,72.8,4.43,7.8,1.93,0.0011,15.36,10.4,35,3.676,-0.0976,49.407,0.503,147.729,-136.423,clastic_sedimentary,conglomerate,Rockcastle Conglomerate,87904,29.4,25843,FHWA_HPMS_2022,3,1,2,0,0.0,0.2611,Moderate
34,I-40,576.7,65.8,3.77,7.86,2.04,-0.0069,13.62,10.5,35,3.127,-0.0671,50.07,0.532,147.405,-138.437,clastic_sedimentary,conglomerate,Rockcastle Conglomerate,80553,31.2,25132,FHWA_HPMS_2022,3,1,2,0,0.006666666666666667,0.2406,Low
35,I-40,588.1,53.5,2.71,7.86,1.88,0.0096,10.33,10.5,35,2.79,-0.0315,50.08,0.542,144.869,-138.445,clastic_sedimentary,conglomerate,Rockcastle Conglomerate,93790,26.8,25135,FHWA_HPMS_2022,3,1,2,0,0.0,0.2311,Low
36,I-40,580.7,70.8,3.35,10.19,2.36,-0.0103,12.91,10.7,35,3.051,-0.0909,49.755,0.525,140.546,-137.69,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",79405,29.3,23265,FHWA_HPMS_2022,3,1,2,0,0.0,0.2318,Low
37,I-40,576.9,66.6,3.83,10.19,2.77,0.002,14.09,11.0,35,3.684,-0.1169,49.191,0.519,136.125,-135.446,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",89470,28.3,25320,FHWA_HPMS_2022,3,1,2,0,0.0033333333333333335,0.2579,Moderate
38,I-40,586.4,63.4,1.98,9.29,2.37,0.0099,7.5,10.7,35,3.715,-0.1231,48.578,0.567,131.618,-133.848,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",74203,31.3,23225,FHWA_HPMS_2022,3,1,2,0,0.0033333333333333335,0.224,Low
39,I-40,588.6,21.8,0.81,2.14,0.39,0.0003,2.98,10.8,35,3.45,-0.1389,48.113,0.573,128.785,-133.656,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",78649,26.8,21077,FHWA_HPMS_2022,3,1,2,0,0.0,0.2013,Low
40,I-40,582.9,24.6,1.26,3.66,0.76,0.0027,4.36,10.5,35,3.443,-0.0959,47.875,0.542,126.299,-134.01,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",89385,26.7,23865,FHWA_HPMS_2022,3,1,2,0,0.0,0.217,Low
41,I-40,579.6,27.5,1.57,3.66,0.73,0.0062,5.49,10.5,35,3.679,-0.039,48.256,0.54,124.958,-134.903,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",93198,27.1,25256,FHWA_HPMS_2022,3,1,2,0,0.0,0.2269,Low
42,I-40,574.9,52.1,2.38,8.4,1.61,0.0029,8.38,10.7,35,3.779,-0.0758,49.137,0.528,124.584,-134.22,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",89206,24.8,22123,FHWA_HPMS_2022,3,1,2,0,0.0033333333333333335,0.235,Low
43,I-40,559.6,65.6,3.8,8.58,1.96,-0.0066,12.77,10.7,35,3.874,-0.0614,50.333,0.483,123.867,-132.236,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",87185,27.2,23714,FHWA_HPMS_2022,3,1,2,0,0.0,0.2511,Moderate
44,I-40,556.9,66.1,4.07,9.2,2.18,0.0018,14.51,10.8,35,3.399,0.036,51.189,0.497,121.986,-134.03,clastic_sedimentary,shale,"Crooked Fork Group, including Wartburg Sandstone, Glenmary Shale, Coalfield Sandstone, Burnt Mill Shale, Crossville Sandstone, Dorton Shale",85880,26.9,23101,FHWA_HPMS_2022,3,1,2,0,0.0,0.2451,Low
45,I-40,566.5,65.6,2.95,9.2,2.0,0.001,11.18,10.8,35,2.689,0.0911,51.708,0.561,119.171,-137.382,clastic_sedimentary,shale,"Crooked Fork Group, including Wartburg Sandstone, Glenmary Shale, Coalfield Sandstone, Burnt Mill Shale, Crossville Sandstone, Dorton Shale",77591,28.2,21880,FHWA_HPMS_2022,3,1,2,0,0.0,0.2188,Low
46,I-40,570.2,38.5,2.17,4.38,0.97,0.005,7.76,10.7,35,2.163,0.2052,52.294,0.578,117.295,-139.851,clastic_sedimentary,shale,"Crooked Fork Group, including Wartburg Sandstone, Glenmary Shale, Coalfield Sandstone, Burnt Mill Shale, Crossville Sandstone, Dorton Shale",82932,28.5,23635,FHWA_HPMS_2022,3,1,2,0,0.0,0.2112,Low
47,I-40,569.2,35.3,2.12,4.18,0.91,-0.0022,7.57,10.7,35,2.034,0.1746,52.526,0.583,118.211,-142.655,clastic_sedimentary,shale,"Crooked Fork Group, including Wartburg Sandstone, Glenmary Shale, Coalfield Sandstone, Burnt Mill Shale, Crossville Sandstone, Dorton Shale",84757,30.8,26105,FHWA_HPMS_2022,3,1,2,0,0.0,0.2126,Low
48,I-40,563.9,44.4,2.29,4.13,0.89,-0.0068,7.8,10.7,35,2.388,0.0467,52.824,0.606,121.121,-144.811,clastic_sedimentary,shale,"Crooked Fork Group, including Wartburg Sandstone, Glenmary Shale, Coalfield Sandstone, Burnt Mill Shale, Crossville Sandstone, Dorton Shale",95442,29.4,28059,FHWA_HPMS_2022,3,1,2,0,0.0,0.2267,Low
49,I-40,556.6,40.5,2.08,3.91,0.94,-0.0025,7.17,10.5,35,2.349,0.1184,53.396,0.619,123.387,-145.368,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",84254,27.1,22832,FHWA_HPMS_2022,3,1,2,0,0.0,0.2094,Low
50,I-40,551.5,36.0,1.93,5.85,1.12,-0.0024,7.0,10.8,35,2.53,0.1463,53.479,0.602,123.682,-145.489,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",70434,26.7,18805,FHWA_HPMS_2022,3,1,2,0,0.0,0.1936,Low
51,I-40,553.6,50.8,2.13,6.69,1.36,0.005,7.63,10.5,35,2.646,0.1002,53.455,0.591,124.162,-146.682,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",84125,28.7,24143,FHWA_HPMS_2022,3,1,2,0,0.0,0.2174,Low
52,I-40,556.4,30.1,1.79,6.69,0.93,0.0038,6.47,10.7,35,1.997,0.1789,54.297,0.627,124.822,-150.218,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",79473,26.0,20662,FHWA_HPMS_2022,3,1,2,0,0.0,0.1959,Low
53,I-40,550.6,40.1,1.82,3.56,0.72,-0.0024,6.05,11.0,35,1.754,0.1933,55.107,0.651,126.309,-152.939,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",77559,30.7,23810,FHWA_HPMS_2022,3,1,2,0,0.0,0.1984,Low
54,I-40,540.4,29.2,1.89,3.65,0.75,-0.0033,6.17,11.0,35,1.939,0.1498,55.425,0.626,128.109,-153.262,other,other,other,86012,29.8,25631,FHWA_HPMS_2022,1,3,2,0,0.0,0.1545,Low
55,I-40,541.1,25.3,1.55,3.06,0.6,-0.0004,5.34,10.7,35,2.035,0.0679,55.926,0.63,129.367,-153.919,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",88763,27.3,24232,FHWA_HPMS_2022,3,1,2,0,0.0,0.2023,Low
56,I-40,535.8,72.0,3.01,10.16,2.6,0.0041,10.62,10.7,35,1.937,-0.0133,56.159,0.608,128.516,-152.646,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",88109,25.4,22379,FHWA_HPMS_2022,3,1,2,0,0.0,0.2168,Low
57,I-40,535.7,77.4,3.35,10.16,2.58,0.0019,12.45,10.7,35,1.896,0.0056,55.356,0.557,125.061,-147.081,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",76494,30.0,22948,FHWA_HPMS_2022,3,1,2,0,0.0,0.2117,Low
58,I-40,540.8,33.6,1.93,8.41,1.31,0.0069,8.1,10.5,35,1.969,0.0651,55.182,0.541,123.66,-141.273,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",79971,27.8,22231,FHWA_HPMS_2022,3,1,2,0,0.0,0.197,Low
59,I-40,535.7,29.3,1.65,3.83,0.77,0.0001,6.59,11.0,35,1.647,0.0971,55.429,0.545,119.5,-137.484,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",84173,29.9,25167,FHWA_HPMS_2022,3,1,2,0,0.0,0.1983,Low
60,I-40,533.7,29.2,1.7,5.32,0.96,0.0028,6.69,10.7,35,1.626,0.0919,55.384,0.564,116.314,-136.25,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",88399,25.6,22630,FHWA_HPMS_2022,3,1,2,0,0.0,0.1974,Low
61,I-40,528.7,44.1,1.98,5.32,1.1,-0.0062,7.11,10.7,35,1.301,0.0097,56.242,0.532,120.358,-140.159,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate",78856,27.1,21369,FHWA_HPMS_2022,3,1,2,0,0.0,0.184,Low
62,I-40,528.5,56.3,2.26,7.01,1.16,0.0079,8.72,10.7,35,0.793,-0.0772,58.041,0.5,125.435,-147.586,clastic_sedimentary,shale,"Crooked Fork Group, including Wartburg Sandstone, Glenmary Shale, Coalfield Sandstone, Burnt Mill Shale, Crossville Sandstone, Dorton Shale",80782,28.0,22618,FHWA_HPMS_2022,3,1,2,0,0.0,0.1897,Low
63,I-40,529.7,78.0,3.51,16.8,2.96,0.0216,14.17,10.8,35,1.314,-0.1851,60.03,0.448,128.379,-154.115,clastic_sedimentary,shale,"Crooked Fork Group, including Wartburg Sandstone, Glenmary Shale, Coalfield Sandstone, Burnt Mill Shale, Crossville Sandstone, Dorton Shale",74742,28.1,21002,FHWA_HPMS_2022,3,1,2,0,0.006666666666666667,0.2143,Low
64,I-40,513.1,138.1,6.02,19.0,5.01,0.0001,22.51,10.7,35,2.223,-0.2385,60.478,0.425,125.657,-155.244,clastic_sedimentary,shale,"Crooked Fork Group, including Wartburg Sandstone, Glenmary Shale, Coalfield Sandstone, Burnt Mill Shale, Crossville Sandstone, Dorton Shale",74152,27.3,20243,FHWA_HPMS_2022,3,1,2,0,0.02666666666666667,0.2684,Moderate
65,I-40,497.0,124.2,7.44,19.4,5.52,-0.009,26.73,10.7,35,2.055,-0.1879,60.177,0.442,123.254,-154.239,clastic_sedimentary,shale,"Crooked Fork Group, including Wartburg Sandstone, Glenmary Shale, Coalfield Sandstone, Burnt Mill Shale, Crossville Sandstone, Dorton Shale",87330,28.9,25238,FHWA_HPMS_2022,3,1,2,0,0.03666666666666667,0.2965,Moderate
