segment_id,cluster,risk_category_unsup,risk_score_unsup,pca1,pca2
1,0,Moderate,0.5657,3.4663577720026533,-0.03156439012260188
2,0,Moderate,0.5582,3.3865650663248146,-0.08180446667954196
3,0,Moderate,0.5854,2.4588801017710216,0.6952401478599308
4,0,Moderate,0.6078,2.109664595752219,0.8967667412556942
5,0,Moderate,0.5887,2.015204187232815,0.830876538338689
6,0,Moderate,0.5948,1.6834123822670095,0.8803568301165055
7,0,Moderate,0.626,1.4785550687659832,1.1206220134627922
8,0,Moderate,0.6091,1.6740934286651816,0.9178781038569697
9,0,Moderate,0.5911,1.7700596119824081,0.7425126620062885
10,0,Moderate,0.6314,1.1046172239862628,1.4063578284366796
11,0,Moderate,0.6317,0.9912216852616176,1.6511140388297607
12,0,Moderate,0.6229,1.0155249707127492,1.673990468966955
13,0,Moderate,0.6206,1.2520351133310883,1.0663484650421213
14,0,Moderate,0.5967,1.104188309364776,1.1568296627233372
15,0,Moderate,0.5873,1.1901677250864866,0.8823204261006132
16,0,Moderate,0.6406,1.1479169623168437,1.48891956214024
17,0,Moderate,0.6098,1.810922879349739,0.9863717166664966
18,0,Moderate,0.6035,2.5975675135644916,0.7229296614383439
19,0,Moderate,0.6159,1.4660194413798595,1.6476363661506959
20,0,Moderate,0.6864,0.22739242147364644,2.3266983943212236
21,0,Moderate,0.7275,0.11103490407944286,2.6501051750647133
22,0,Moderate,0.7082,0.2840629004839833,2.4922344310067257
23,0,Moderate,0.7108,0.5754353690116545,2.267474313594819
24,0,Moderate,0.7155,-0.25276073160902307,2.6681292203729705
25,0,Moderate,0.722,-0.8380036873314953,3.168698111140425
26,0,Moderate,0.7146,-0.5861473943409488,3.380425766016705
27,0,Moderate,0.6597,0.27640184468395324,2.507950791604104
28,0,Moderate,0.6222,1.38526187751444,1.436993958372622
29,0,Moderate,0.5661,2.8126491435228282,-0.02813369983135779
30,0,Moderate,0.5782,2.6888887078695833,0.17903430515281962
31,0,Moderate,0.5833,2.555311931670259,0.377190885757828
32,0,Moderate,0.6241,2.562087834146465,0.5738550860692138
33,0,Moderate,0.6111,2.550987156533532,0.7359296889756087
34,0,Moderate,0.5883,2.681479790764076,0.5071857608338535
35,0,Moderate,0.5811,2.557679381437644,0.1487713292664457
36,0,Moderate,0.5818,2.4953136035007653,0.5346927337111527
37,0,Moderate,0.6067,2.526886097883619,0.7833385005651581
38,0,Moderate,0.5729,3.0112615488715386,0.6981920726465342
39,0,Moderate,0.5513,3.466398519870635,-0.16835296812559075
40,0,Moderate,0.567,3.2828029628433026,-0.1706519925578645
41,0,Moderate,0.5769,3.2319778792418252,-0.15063737540938635
42,0,Moderate,0.5826,2.6740348412282993,0.290523346911316
43,0,Moderate,0.6011,2.5194402813143553,0.49526484853634806
44,0,Moderate,0.5951,2.1945369577275393,0.36702618137989407
45,0,Moderate,0.5688,2.297823278906998,0.08771994757055294
46,0,Moderate,0.5612,2.616245302709563,-0.6460628046687406
47,0,Moderate,0.5626,2.857107435005089,-0.6265257030151625
48,0,Moderate,0.5767,3.0492853495024836,-0.3142222840354235
49,0,Moderate,0.5594,2.796493436861987,-0.49369573659025995
50,0,Moderate,0.5424,2.5971879963299283,-0.4447072972429565
51,0,Moderate,0.5674,2.721768979637025,-0.16163169837108834
52,0,Moderate,0.5459,2.5113598476980923,-0.5871326848059766
53,0,Moderate,0.5484,2.9119006596497403,-0.659158101973896
54,0,Moderate,0.4987,2.603843876523572,-1.4016814662046888
55,0,Moderate,0.5523,3.061661852826127,-0.5813089099348953
56,0,Moderate,0.5656,2.214126577680903,0.22151678157323404
57,0,Moderate,0.5594,2.239373333613889,0.318757985938528
58,0,Moderate,0.547,2.5006058030662532,-0.26622993772989123
59,0,Moderate,0.5483,2.891066492124488,-0.6701234909152488
60,0,Moderate,0.5451,2.5885178795131147,-0.6706887355596736
61,0,Moderate,0.5305,2.5677212375097582,-0.5234204103128535
62,0,Moderate,0.5397,2.384768609452902,-0.19459494380167291
63,0,Moderate,0.562,1.694794164168606,0.9265715255868356
64,0,Moderate,0.6091,1.1719989131049753,1.710816872272298
65,0,Moderate,0.6336,1.152808142957404,1.7020253869386353
66,0,Moderate,0.6162,0.8802042394062062,1.5175802622502605
67,0,Moderate,0.6066,0.5528306345063365,1.6427235409643042
68,0,Moderate,0.6195,0.5629502606274298,1.2736702583244515
69,0,Moderate,0.6,0.946866211153889,1.2270474351931013
70,0,Moderate,0.5585,1.9594174652596041,0.5547721036407769
71,0,Moderate,0.5589,2.04387740764771,0.5062608011484983
72,0,Moderate,0.5187,2.0789072508736126,0.3185753852433994
73,0,Moderate,0.514,2.126242254395275,0.23589154937717716
74,0,Moderate,0.5338,1.9391790088698075,0.3509033511225006
75,0,Moderate,0.5207,1.8862348653867531,0.5715677575711959
76,0,Moderate,0.5673,1.7795139440489744,1.430765421564795
77,0,Moderate,0.5774,1.5167713792026947,1.7008394705922976
78,0,Moderate,0.5528,2.490023715468187,0.9557094639060638
79,0,Moderate,0.5535,2.5112725186989295,1.0366241446457178
80,0,Moderate,0.5904,1.3063556221977826,2.4038634881865053
81,0,Moderate,0.614,1.1480390317597653,2.6193953898341498
82,0,Moderate,0.614,0.9592526853638371,2.291686498678241
83,0,Moderate,0.6027,1.5259785077410308,1.8532120681235233
84,0,Moderate,0.5668,2.1613956567756523,1.4079038356891618
85,0,Moderate,0.5605,2.5744785535940014,1.201811226445709
86,0,Moderate,0.5475,2.467049169483159,1.0126951795869668
87,0,Moderate,0.5552,2.472197499807643,1.1107952147556244
88,0,Moderate,0.5771,1.7619270325510776,1.5480480738012559
89,0,Moderate,0.5587,1.5900678255516132,0.9836729092378184
90,0,Moderate,0.5687,1.9411174380894736,1.1696058832028378
91,0,Moderate,0.6035,1.5279483090671486,1.9786727878301875
92,0,Moderate,0.6132,1.7103276393786297,2.2410084752325634
93,0,Moderate,0.5878,1.6533222548131083,2.0013434327875217
94,0,Moderate,0.5914,1.6299563210987487,1.7595216534873899
95,0,Moderate,0.5913,1.567536655118314,1.82328929250404
96,0,Moderate,0.5701,1.9161000303352471,1.5860342260611604
97,0,Moderate,0.5608,2.3076333086401934,0.9106644423204417
98,0,Moderate,0.5664,2.1424422517164925,1.1200819071693604
99,0,Moderate,0.5802,1.9820580135410895,1.3488343438509123
100,0,Moderate,0.5996,1.2338499398703027,1.951652859927067
101,0,Moderate,0.5936,1.2539990895722015,2.0494918628881376
