segment_id,road_name,mean_elevation_m,elev_range_m,mean_slope_deg,max_slope_deg,std_slope_deg,mean_curvature,terrain_roughness,stream_proximity_pct
1,I-40,320.9,33.6,1.96,4.5,0.8,-0.0049,6.93,10.7
2,I-40,322.2,38.4,1.93,4.5,0.81,-0.0081,6.8,11.0
3,I-40,340.1,95.9,3.28,13.43,3.01,-0.0026,11.4,11.0
4,I-40,358.7,87.4,5.05,13.43,3.38,0.0119,17.15,10.4
5,I-40,358.1,92.7,4.97,13.43,3.03,0.0036,17.19,10.5
6,I-40,364.3,112.8,5.67,12.31,3.0,0.0017,20.23,10.8
7,I-40,366.0,124.3,6.62,14.71,3.49,-0.0009,23.87,10.5
8,I-40,331.5,138.9,5.15,15.95,3.72,-0.0177,18.87,10.5
9,I-40,321.0,125.7,4.79,14.03,3.71,-0.0119,18.03,10.7
10,I-40,358.4,142.3,7.59,16.29,4.52,0.0144,26.49,11.0
11,I-40,391.7,137.2,8.29,17.6,4.47,0.0135,29.32,11.0
12,I-40,403.9,134.6,7.44,17.6,5.33,0.0342,27.2,10.4
13,I-40,402.1,105.9,7.37,15.99,4.63,-0.0028,26.34,10.5
14,I-40,419.9,173.7,6.2,15.77,3.71,-0.0036,21.83,10.8
15,I-40,459.5,130.1,6.32,14.71,3.62,-0.0062,22.14,10.5
16,I-40,500.5,141.4,7.73,14.71,3.33,0.0043,26.23,10.5
17,I-40,528.3,89.7,5.54,12.74,3.44,-0.0005,19.63,10.7
18,I-40,547.2,90.1,2.87,11.27,2.19,0.0014,10.97,11.1
19,I-40,549.3,121.5,4.78,19.13,5.48,0.0336,18.46,11.0
20,I-40,488.0,219.5,10.51,20.84,6.42,-0.0276,37.59,10.4
21,I-40,475.0,211.2,12.1,20.84,4.77,0.0053,41.94,10.5
22,I-40,456.3,244.2,10.4,15.5,3.71,0.017,37.48,10.7
23,I-40,410.5,194.3,10.67,18.05,3.69,-0.0174,38.14,10.7
24,I-40,409.4,244.6,12.03,22.11,4.74,-0.015,42.91,10.5
25,I-40,428.6,254.7,13.98,22.11,4.04,0.0142,48.83,10.8
26,I-40,487.8,252.0,12.34,23.14,6.01,0.0456,45.0,10.4
27,I-40,535.0,173.0,9.26,23.14,6.77,0.0149,35.22,10.5
