segment_id,road_name,mean_elevation_m,elev_range_m,mean_slope_deg,max_slope_deg,std_slope_deg,mean_curvature,terrain_roughness,stream_proximity_pct
1,I-75,322.4,166.6,5.57,20.36,5.15,-0.0181,19.65,10.5
2,I-75,304.5,44.9,3.31,12.7,2.76,-0.0162,12.0,10.9
3,I-75,328.1,181.2,6.38,19.41,5.18,-0.0153,21.68,10.4
4,I-75,418.8,281.8,11.78,23.9,6.25,0.0192,37.68,10.9
5,I-75,505.2,246.0,11.43,23.9,5.71,0.0254,35.21,10.9
6,I-75,494.4,124.1,7.01,15.63,3.27,-0.0071,21.6,10.5
7,I-75,462.4,98.4,4.92,12.48,2.5,0.0073,15.91,10.9
8,I-75,457.8,68.3,5.06,12.52,2.52,0.0049,16.17,10.5
9,I-75,473.3,121.4,7.06,19.49,3.82,-0.004,22.11,10.6
10,I-75,484.0,160.0,9.33,22.46,5.15,0.021,28.64,10.9
11,I-75,457.4,190.7,10.74,23.07,5.8,-0.0316,34.09,10.8
12,I-75,427.9,194.8,12.97,23.65,5.97,0.0197,40.27,10.8
13,I-75,400.1,164.1,13.15,23.65,5.62,-0.0258,40.78,10.8
14,I-75,436.3,290.1,13.62,22.47,5.07,-0.0346,42.84,11.0
15,I-75,559.0,305.4,14.68,24.52,4.81,0.0555,47.19,11.0
16,I-75,633.0,178.3,14.43,24.52,5.46,0.0675,46.41,10.8
17,I-75,639.5,212.1,13.34,21.51,5.19,0.0627,43.3,10.0
18,I-75,605.2,274.3,12.96,21.51,4.85,0.0412,41.18,10.6
19,I-75,560.6,205.6,11.97,20.45,4.04,0.0117,37.91,10.8
20,I-75,511.7,234.9,11.38,20.4,3.96,-0.0224,35.67,10.9
21,I-75,462.9,165.9,9.97,20.4,4.16,-0.032,32.43,10.8
22,I-75,501.2,258.7,12.4,26.45,6.59,-0.0031,41.77,10.8
23,I-75,605.2,350.3,15.64,30.85,6.74,0.0419,51.34,10.5
24,I-75,567.7,387.4,15.5,30.85,6.83,0.0084,51.33,10.5
25,I-75,425.2,283.6,9.9,26.24,8.13,-0.0233,33.27,11.0
26,I-75,364.8,60.6,2.69,6.11,1.43,-0.0056,9.12,10.8
27,I-75,353.6,52.3,2.62,8.11,1.53,-0.0015,8.34,10.6
28,I-75,358.3,70.3,3.97,11.68,2.24,0.0005,12.15,10.9
29,I-75,378.5,109.5,4.76,11.68,2.39,0.0016,15.28,10.8
30,I-75,404.7,138.9,6.27,16.55,3.83,0.0053,21.38,10.9
31,I-75,387.8,166.0,9.79,19.68,4.74,0.02,30.48,10.9
32,I-75,352.2,119.4,11.15,19.42,4.89,-0.0317,32.78,10.5
33,I-75,355.8,148.0,11.61,20.9,4.95,-0.0341,34.68,12.8
34,I-75,371.2,148.0,10.91,20.9,5.14,0.0052,33.2,14.1
35,I-75,358.3,140.0,8.84,20.51,4.5,0.0026,26.68,10.9
36,I-75,341.4,114.3,6.94,16.68,4.0,0.0022,23.14,22.9
37,I-75,335.4,114.3,6.59,16.68,4.29,-0.0115,22.34,30.1
38,I-75,328.4,87.5,6.38,13.55,3.75,-0.0269,20.43,29.0
39,I-75,328.6,88.4,5.61,13.22,3.72,-0.0066,18.69,25.3
40,I-75,331.4,96.2,6.11,14.39,4.04,-0.0138,20.5,18.5
41,I-75,359.8,111.7,6.46,14.39,3.66,0.006,20.91,10.9
