segment_id,rock_class,rocktype1,unit_name
1,carbonate,limestone,St. Louis Limestone and Warsaw Limestone
2,carbonate,limestone,Monteagle Limestone
3,carbonate,limestone,Monteagle Limestone
4,carbonate,limestone,Monteagle Limestone
5,carbonate,limestone,Monteagle Limestone
6,carbonate,limestone,Bangor Limestone and Hartselle Formation
7,carbonate,limestone,Monteagle Limestone
8,carbonate,limestone,Monteagle Limestone
9,carbonate,limestone,Monteagle Limestone
10,carbonate,limestone,Monteagle Limestone
11,carbonate,limestone,Monteagle Limestone
12,carbonate,limestone,Monteagle Limestone
13,carbonate,limestone,Bangor Limestone and Hartselle Formation
14,carbonate,limestone,Bangor Limestone and Hartselle Formation
15,carbonate,limestone,Pennington Formation
16,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
17,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
18,clastic_sedimentary,shale,Pennington Formation
19,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
20,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
21,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
22,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
23,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
24,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
25,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
26,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
27,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
28,clastic_sedimentary,limestone,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
29,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
30,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
31,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
32,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
33,clastic_sedimentary,conglomerate,Rockcastle Conglomerate
34,clastic_sedimentary,conglomerate,Rockcastle Conglomerate
35,clastic_sedimentary,conglomerate,Rockcastle Conglomerate
36,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
37,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
38,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
39,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
40,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
41,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
42,clastic_sedimentary,conglomerate,"Crab Orchard Mountains Group, including Rockcastle Conglomerate, Vandever Formation, Newton Sandstone, Whitwell Shale, and Sewanee Conglomerate"
