,importance
terrain_roughness,0.23469945883265192
mean_slope_deg,0.21206410726849895
max_slope_deg,0.17472999159687205
elev_range_m,0.12226548096425399
mean_curvature,0.035475705141490725
mean_coherence,0.03273251606740374
truck_AADT,0.031761030589567515
truck_pct,0.030920507418180244
max_disp_mm,0.02523369155266979
mean_disp_mm,0.024540617985806135
AADT_2022,0.018776135585633538
low_coh_pct,0.016239003456437865
geology_enc,0.01588289564504129
std_disp_mm,0.014071737798900343
rock_risk_score,0.008086199121206446
landcover_enc,0.0025209209753854355
